name	x	y	z	size	group	type
F1	-6.106941	-13.666199	107.866347	n/a		n/a
F2	-13.764308	-3.229831	104.709703	n/a		n/a
F3	-16.901851	7.432174	98.887041	n/a		n/a
F4	-26.161109	17.282994	91.369654	n/a		n/a
F5	-28.227876	29.304878	85.806890	n/a		n/a
F6	-30.986873	41.633295	76.613598	n/a		n/a
F7	-46.359198	45.055109	67.918875	n/a		n/a
F8	-52.262529	50.904667	54.873788	n/a		n/a
F9	-53.291937	57.296641	39.899874	n/a		n/a
F10	-55.335412	59.992056	25.874049	n/a		n/a
F11	-71.718689	43.601806	9.933540	n/a		n/a
F12	-69.353117	45.692239	23.444790	n/a		n/a
F13	-66.002181	44.520143	37.490058	n/a		n/a
F14	-63.461080	38.856844	51.270839	n/a		n/a
F15	-60.418832	32.899418	64.100947	n/a		n/a
F16	-49.446899	29.543867	76.928361	n/a		n/a
F17	-43.752041	20.881692	87.335965	n/a		n/a
F18	-38.045516	5.386243	94.324017	n/a		n/a
F19	-30.992058	-4.944531	101.518004	n/a		n/a
F20	-25.776810	-16.049811	105.772550	n/a		n/a
F21	-39.013152	-21.484236	100.830196	n/a		n/a
F22	-49.781352	-6.570937	91.471561	n/a		n/a
F23	-53.439791	8.516393	81.665820	n/a		n/a
F24	-62.681040	13.456144	71.210222	n/a		n/a
F25	-66.067501	19.411660	59.700280	n/a		n/a
F26	-73.126281	23.762581	46.482716	n/a		n/a
F27	-75.715747	29.610763	33.491446	n/a		n/a
F28	-77.846965	30.259817	18.237182	n/a		n/a
F29	-80.021164	28.150314	2.879766	n/a		n/a
F30	-84.098726	10.491506	0.357228	n/a		n/a
F31	-85.688764	11.652435	16.968417	n/a		n/a
F32	-82.234877	12.103445	32.045068	n/a		n/a
G1	-12.444606	-28.154701	107.903128	n/a		n/a
G2	-28.199205	-31.004242	104.855318	n/a		n/a
G3	-39.654800	-35.231842	100.265858	n/a		n/a
G4	-53.318232	-20.824071	90.830891	n/a		n/a
G5	-61.682605	-4.830770	81.777620	n/a		n/a
G6	-68.887192	-2.857713	70.934349	n/a		n/a
G7	-75.400169	3.681135	57.764392	n/a		n/a
G8	-80.978500	5.533408	46.127664	n/a		n/a
G9	-88.374072	-4.171632	29.655986	n/a		n/a
G10	-89.428426	-5.692021	14.127776	n/a		n/a
G11	-91.174016	-22.965028	14.142973	n/a		n/a
G12	-88.207892	-20.924371	29.461226	n/a		n/a
G13	-86.102876	-13.485741	43.896519	n/a		n/a
G14	-80.825379	-12.303558	58.075544	n/a		n/a
G15	-73.694193	-20.516057	71.948640	n/a		n/a
G16	-65.445936	-20.165809	82.103727	n/a		n/a
G17	-73.078985	-38.604471	70.897480	n/a		n/a
G18	-82.470247	-27.018101	56.919775	n/a		n/a
G19	-83.413192	-29.609053	42.810163	n/a		n/a
G20	-86.898282	-40.343196	28.293449	n/a		n/a
G21	-88.514648	-38.254183	14.041338	n/a		n/a
G22	-82.227119	-56.249534	-1.923316	n/a		n/a
G23	-83.125693	-55.438334	12.555075	n/a		n/a
G24	-81.549337	-53.548989	28.361874	n/a		n/a
G25	-80.814718	-46.988759	42.887549	n/a		n/a
G26	-77.890411	-42.562258	57.531363	n/a		n/a
G27	-72.753675	-59.559333	58.737243	n/a		n/a
G28	-75.477644	-62.608280	43.739651	n/a		n/a
G29	-73.925205	-68.273107	28.762344	n/a		n/a
G30	-75.298050	-69.801831	14.245151	n/a		n/a
G31	-75.248246	-70.830055	-0.558244	n/a		n/a
G32	-74.524623	-66.988093	-15.146025	n/a		n/a
H1	-17.310407	-44.806315	104.644326	n/a		n/a
H2	-34.201370	-48.809190	99.914405	n/a		n/a
H3	-48.329575	-52.043937	91.787645	n/a		n/a
H4	-52.738272	-36.516052	92.407493	n/a		n/a
H5	-63.906248	-35.972918	81.905222	n/a		n/a
H6	-57.967325	-51.729076	83.546829	n/a		n/a
H7	-66.740537	-55.471703	71.019177	n/a		n/a
H8	-64.025913	-71.613114	58.247615	n/a		n/a
H9	-67.398824	-75.320937	44.114864	n/a		n/a
H10	-66.179620	-82.641844	27.739847	n/a		n/a
H11	-66.944385	-82.640991	15.977267	n/a		n/a
H12	-66.674372	-83.208949	1.081499	n/a		n/a
H13	-64.958971	-81.432914	-14.426512	n/a		n/a
H14	-53.391673	-96.307653	-12.767341	n/a		n/a
H15	-54.482699	-97.497342	2.688961	n/a		n/a
H16	-57.367414	-96.206827	16.715597	n/a		n/a
H17	-54.689561	-95.475058	32.742010	n/a		n/a
H18	-57.265888	-88.440700	46.730408	n/a		n/a
H19	-54.055305	-83.684346	59.676366	n/a		n/a
H20	-58.293665	-70.337852	71.592805	n/a		n/a
H21	-47.066139	-64.707488	86.096278	n/a		n/a
H22	-36.232551	-74.577337	82.768005	n/a		n/a
H23	-18.048026	-58.823251	96.145977	n/a		n/a
H24	-37.235598	-74.891013	80.309329	n/a		n/a
H25	-42.059279	-81.489457	69.446770	n/a		n/a
H26	-37.582210	-94.305329	58.288555	n/a		n/a
H27	-41.366321	-99.845782	46.083237	n/a		n/a
H28	-40.003558	-104.725704	29.799763	n/a		n/a
H29	-39.673991	-109.038005	16.306567	n/a		n/a
H30	-40.672697	-109.316632	2.503739	n/a		n/a
H31	-38.308037	-105.971743	-11.291073	n/a		n/a
H32	-35.679183	-104.531412	-25.098052	n/a		n/a
